الاسم,التصنيف,الهاتف,العنوان,المنطقة,سنة التأسيس,الوصف,الخدمات (مفصولة بـ |),أوقات الدوام,البريد الإلكتروني,الموقع الإلكتروني,اسم المسؤول,عدد المستفيدين,خط العرض,خط الطول,الحالة (approved/pending)
اتحاد الجمعيات الخيرية لمحافظة معان,عامة,,,وسط المدينة,1971,,يتكون من 154 عضوًا|مدة الدورة 3 سنوات (آخر انتخابات 2022),الأحد – الخميس: 8:00 – 15:00,,,أحمد عبد الحميد كريشان,,30.1942,35.734,approved
جمعية أيتام معان الخيرية,رعاية أيتام,0795451107,,وسط المدينة,2005,كفالة الأيتام ودعمهم تعليميًا (تدريس بالجامعات، دورات تقوية)، توفير عيادات صحية (نسائية، عام، أسنان)، مشاريع إسكان استثماري، وحدة تصنيع ألبان، مختبر حاسوب، روضة مجانية وحديقة عامة للأيتام,كفالة الأيتام ودعمهم تعليميًا (تدريس بالجامعات|دورات تقوية)|توفير عيادات صحية (نسائية|أسنان)|مشاريع إسكان استثماري|وحدة تصنيع ألبان|مختبر حاسوب|روضة مجانية وحديقة عامة للأيتام,الأحد – الخميس: 8:00 – 15:00,,,محمد البحري,,30.1942,35.734,approved
جمعية الأنوار الخيرية للسيدات,رعاية أيتام,0772220523,,وسط المدينة,2010,دراسة المشكلات المجتمعية وحلها، التركيز على قضايا المرأة والطفل، تقديم المساعدات للأسر الفقيرة، رعاية الأيتام وكفالتهم، تقديم الإرشاد الأسري، مكافحة الفكر المتطرف,دراسة المشكلات المجتمعية وحلها|التركيز على قضايا المرأة والطفل|تقديم المساعدات للأسر الفقيرة|رعاية الأيتام وكفالتهم|تقديم الإرشاد الأسري|مكافحة الفكر المتطرف,الأحد – الخميس: 8:00 – 15:00,alanwar.maan@yahoo.com,,لانا كريشان,,30.1942,35.734,approved
جمعية الانتماء للتنمية الاجتماعية,عامة,0776962307,,وسط المدينة,1982,,إقامة مشاريع صغيرة لتشغيل الأيدي العاملة|مساعدة الأسر المحتاجة والمرأة لرفع الدخل (مشاريع تصنيع الألبان)|إقامة رياض أطفال للموظفين,الأحد – الخميس: 8:00 – 15:00,,,أحمد المرايعة,,30.1942,35.734,approved
جمعية الجوهرة الخيرية,تنمية المرأة,,,وسط المدينة,2009,تمكين المرأة سياسيًا واقتصاديًا واجتماعيًا، العناية بالأم والطفل، إقامة مشاريع إنتاجية، الاهتمام بالزراعة والبيئة، تقديم المساعدات,تمكين المرأة سياسيًا واقتصاديًا واجتماعيًا|العناية بالأم والطفل|إقامة مشاريع إنتاجية|الاهتمام بالزراعة والبيئة|تقديم المساعدات,الأحد – الخميس: 8:00 – 15:00,,,جميلة مرضي الجازي,,30.1942,35.734,approved
جمعية الخلود الخيرية للسيدات,تنمية المرأة,0798202903,,وسط المدينة,,العمل على تمكين المرأة اقتصاديًا وسياسيًا، تقديم المساعدات المالية والعينية، عمل دورات تدريبية للفتيات والسيدات لتوفير فرص عمل,العمل على تمكين المرأة اقتصاديًا وسياسيًا|تقديم المساعدات المالية والعينية|عمل دورات تدريبية للفتيات والسيدات لتوفير فرص عمل,الأحد – الخميس: 8:00 – 15:00,jameiatalkhulud2@gmail.com,,,,30.1942,35.734,approved
جمعية روافد للتنمية الاجتماعية,تعليم,,شارع الملك حسين - قصبة معان,وسط المدينة,2021,تطوير وتعليم المهارات الحياتية مثل المهارات القيادية,تطوير وتعليم المهارات الحياتية مثل المهارات القيادية,الأحد – الخميس: 8:00 – 15:00,,,,,30.1942,35.734,approved
جمعية ربوع معان الخيرية,تنمية اقتصادية,0796760073,,وسط المدينة,2009,مساعدة الأسر الفقيرة (نقدًا وعينًا)، تقديم الدعم المادي للطلبة، إقامة مشاريع إنتاجية مدرة للدخل، رفع المستوى الثقافي,مساعدة الأسر الفقيرة (نقدًا وعينًا)|تقديم الدعم المادي للطلبة|إقامة مشاريع إنتاجية مدرة للدخل|رفع المستوى الثقافي,الأحد – الخميس: 8:00 – 15:00,tom@example.com,,بخيت هارون,,30.1942,35.734,approved
جمعية سيدات المدورة الخيرية,تنمية المرأة,0775530062,مقابل مدرسة البنات الثانوية - المدورة - معان,المدورة,,تمكين النساء والشباب، مساعدة الفقراء,تمكين النساء والشباب|مساعدة الفقراء|حظيت بتكريم ملكي,الأحد – الخميس: 8:00 – 15:00,ghbthaltnt@gmail.com,,,,29.9833,35.85,approved
جمعية سيدات وادي موسى الخيرية,تنمية المرأة,,,وسط المدينة,1993,تنمية وتمكين المرأة، دعم برامج الإنتاج المنزلي، منح القروض,تنمية وتمكين المرأة|دعم برامج الإنتاج المنزلي|منح القروض,الأحد – الخميس: 8:00 – 15:00,,,مها المشاعله,,30.1942,35.734,approved
جمعية شمس الجفر الخيرية,تنمية اقتصادية,,,وسط المدينة,,تقديم المساعدات العينية والنقدية للأسر العفيفة والفقيرة، أهداف تثقيف وتوعية، إنشاء مشاريع صغيرة لمحدودي الدخل,تقديم المساعدات العينية والنقدية للأسر العفيفة والفقيرة|أهداف تثقيف وتوعية|إنشاء مشاريع صغيرة لمحدودي الدخل,الأحد – الخميس: 8:00 – 15:00,,,,,30.1942,35.734,approved
جمعية العهد والولاء الخيرية,إغاثة,,,وسط المدينة,2014,مساعدة طلبة العلم والأسر الفقيرة,مساعدة طلبة العلم والأسر الفقيرة,الأحد – الخميس: 8:00 – 15:00,,,احمد عبدالجبار ابو الفيلات,,30.1942,35.734,approved
جمعية مبرة معان الخيرية,رعاية أيتام,,,وسط المدينة,1967,فتح دار لرعاية المسنين، رعاية الأيتام، تقديم الخدمات للمجتمع المحلي,فتح دار لرعاية المسنين|رعاية الأيتام|تقديم الخدمات للمجتمع المحلي,الأحد – الخميس: 8:00 – 15:00,,,الدكتور علي صلاح,,30.1942,35.734,approved
جمعية نشميات البادية الجنوبية,رعاية أيتام,0779214677,مكتب بريد الجرباء - معان,وسط المدينة,,كفالة الأيتام، تقديم المساعدات، إقامة المشاريع الإنتاجية، تمكين المرأة,كفالة الأيتام|تقديم المساعدات|إقامة المشاريع الإنتاجية|تمكين المرأة,الأحد – الخميس: 8:00 – 15:00,jamelh_aljazi@yahoo.com,,,,30.1942,35.734,approved
جمعية نشميات الجنوب الخيرية,إغاثة,,,وسط المدينة,,تقديم المساعدات العينية والنقدية للأسر العفيفة، برامج توعوية حول المنح والقروض الصغيرة، دعم الدورات التوعوية,تقديم المساعدات العينية والنقدية للأسر العفيفة|برامج توعوية حول المنح والقروض الصغيرة|دعم الدورات التوعوية,الأحد – الخميس: 8:00 – 15:00,,,,,30.1942,35.734,approved
جمعية نساء التغيير الخيرية,تنمية المرأة,,,وسط المدينة,,تطوير قدرات القيادة للنساء، إيجاد حلول لرفع مكانتهن الاجتماعية والسياسية والاقتصادية، محاربة العنف ضد المرأة,تطوير قدرات القيادة للنساء|إيجاد حلول لرفع مكانتهن الاجتماعية والسياسية والاقتصادية|محاربة العنف ضد المرأة,الأحد – الخميس: 8:00 – 15:00,,,,,30.1942,35.734,approved
الاتحاد النسائي - معان,تنمية المرأة,,,وسط المدينة,2008,تمكين المرأة وتوعيتها، منح قروض حسنة، إقامة مشاريع إنتاجية,تمكين المرأة وتوعيتها|منح قروض حسنة|إقامة مشاريع إنتاجية,الأحد – الخميس: 8:00 – 15:00,,,,,30.1942,35.734,approved
جمعية سيدات معان الخيرية,تنمية المرأة,065164491,,وسط المدينة,2008,العناية بالأسرة والمرأة والطفل، زيادة وعي الأسرة، تمكين المرأة اقتصاديًا واجتماعيًا,العناية بالأسرة والمرأة والطفل|زيادة وعي الأسرة|تمكين المرأة اقتصاديًا واجتماعيًا,الأحد – الخميس: 8:00 – 15:00,,,مها العودات,,30.1942,35.734,approved
جمعية الجنوب للحفاظ على البيئة والمجتمع,بيئة,0788355534,,وسط المدينة,2012,تنفيذ مبادرات بيئية، إقامة تدريبات في المدارس، توفير فرص عمل خضراء,تنفيذ مبادرات بيئية|إقامة تدريبات في المدارس|توفير فرص عمل خضراء,الأحد – الخميس: 8:00 – 15:00,,,موسى ابو صالح,,30.1942,35.734,approved
جمعية شباب معان لحماية البيئة,بيئة,,,وسط المدينة,,حماية البيئة وتقليل كمية النفايات، خلق فرص عمل، إنتاج الأسمدة العضوية، إقامة دورات تدريبية,حماية البيئة وتقليل كمية النفايات|خلق فرص عمل|إنتاج الأسمدة العضوية|إقامة دورات تدريبية,الأحد – الخميس: 8:00 – 15:00,,,,,30.1942,35.734,approved
جمعية محميات البادية,بيئة,,اذرح - الشارع الرئيسي قرب مدرسة البنات - معان,اذرح,,,,الأحد – الخميس: 8:00 – 15:00,,,,,30.2,35.8,approved
جمعية ضياء الشوبك للأشخاص ذوي الإعاقة,ذوو احتياجات خاصة,0777929150,,وسط المدينة,2014,رعاية ذوي الاحتياجات الخاصة، تقديم الأعمال الخيرية، فتح مدرسة مخصصة لهم,رعاية ذوي الاحتياجات الخاصة|تقديم الأعمال الخيرية|فتح مدرسة مخصصة لهم,الأحد – الخميس: 8:00 – 15:00,,,,,30.1942,35.734,approved
